system,slug,pass,reason,wall_time_sec,turns,tokens_total,exit_code,timed_out,touched_other_files
abhed,acronym,True,,194.87,8,38770,0,False,
abhed,allergies,True,,110.01,8,67051,0,False,
abhed,anagram,True,,186.15,10,60300,0,False,
abhed,binary-search,True,,63.32,7,35199,0,False,
abhed,bob,True,,150.48,9,57221,0,False,
abhed,clock,True,,230.98,14,139431,0,False,
abhed,grade-school,True,,143.9,10,59511,0,False,
abhed,hamming,True,,61.49,10,47210,0,False,
abhed,isogram,True,,47.06,8,32773,0,False,
abhed,leap,True,,45.47,8,32559,0,False,
abhed,luhn,True,,139.93,11,78145,0,False,
abhed,matrix,True,,80.06,10,47966,0,False,
abhed,pangram,True,,62.14,8,36105,0,False,
abhed,phone-number,True,,269.4,10,70446,0,False,
abhed,protein-translation,True,,117.54,11,60920,0,False,
abhed,raindrops,True,,57.66,8,35359,0,False,
abhed,rna-transcription,True,,61.72,11,51282,0,False,
abhed,robot-simulator,True,,152.38,16,103803,0,False,
abhed,roman-numerals,True,,82.28,9,56760,0,False,
abhed,run-length-encoding,True,,87.44,8,35582,0,False,
abhed,series,True,,127.41,10,50845,0,False,
abhed,sieve,True,,86.17,11,73527,0,False,
abhed,tournament,True,,577.39,13,96778,0,False,
abhed,word-count,True,,166.79,11,63031,0,False,
aider,acronym,False,test_failures,198.8,,16307,0,False,
aider,allergies,True,,78.88,,5500,0,False,
aider,anagram,True,,103.72,,5900,0,False,
aider,binary-search,True,,67.12,,4200,0,False,
aider,bob,True,,149.41,,7400,0,False,
aider,clock,False,test_failures,190.78,,15445,0,False,
aider,grade-school,True,,146.97,,7800,0,False,
aider,hamming,True,,34.96,,2500,0,False,
aider,isogram,True,,48.84,,2900,0,False,
aider,leap,True,,34.5,,2186,0,False,
aider,luhn,True,,134.35,,7300,0,False,
aider,matrix,True,,85.53,,4500,0,False,
aider,pangram,True,,52.6,,3000,0,False,
aider,phone-number,False,test_failures,193.42,,16073,0,False,
aider,protein-translation,True,,67.02,,5100,0,False,
aider,raindrops,True,,57.84,,3600,0,False,
aider,rna-transcription,True,,26.46,,2173,0,False,
aider,robot-simulator,True,,107.76,,5900,0,False,
aider,roman-numerals,True,,65.46,,4200,0,False,
aider,run-length-encoding,False,test_failures,194.26,,16924,0,False,
aider,series,True,,43.02,,3000,0,False,
aider,sieve,True,,66.56,,5000,0,False,
aider,tournament,False,test_failures,218.1,,20363,0,False,
aider,word-count,True,,186.43,,8300,0,False,
bare,acronym,True,,151.98,7,18929,0,False,
bare,allergies,True,,41.95,7,17659,0,False,
bare,anagram,True,,72.02,7,14446,0,False,
bare,binary-search,True,,290.41,7,10876,0,False,
bare,bob,True,,136.82,9,35268,0,False,
bare,clock,True,,76.05,7,20222,0,False,
bare,grade-school,True,,143.64,8,32565,0,False,
bare,hamming,True,,21.8,7,8428,0,False,
bare,isogram,True,,38.79,8,16044,0,False,
bare,leap,True,,22.81,7,7823,0,False,
bare,luhn,False,test_failures,190.96,5,3640,0,False,
bare,matrix,True,,500.06,8,11187,0,False,
bare,pangram,True,,21.49,7,8635,0,False,
bare,phone-number,True,,190.4,8,41039,0,False,
bare,protein-translation,True,,44.25,7,15385,0,False,
bare,raindrops,True,,21.39,7,9290,0,False,
bare,rna-transcription,True,,24.82,7,8430,0,False,
bare,robot-simulator,True,,62.44,7,14178,0,False,
bare,roman-numerals,True,,230.19,7,12333,0,False,
bare,run-length-encoding,False,test_failures,275.87,4,1631,0,False,
bare,series,True,,49.81,7,12147,0,False,
bare,sieve,True,,38.05,7,16763,0,False,
bare,tournament,True,,267.58,10,60542,0,False,
bare,word-count,True,,87.8,7,18940,0,False,
